##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	2240111_TruseqNano_HYGWFDSXY_L1_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	255485969
Sequences flagged as poor quality	0
Sequence length	150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.555858948167916	37.0	37.0	37.0	37.0	37.0
2	36.53178660468826	37.0	37.0	37.0	37.0	37.0
3	36.53527488235567	37.0	37.0	37.0	37.0	37.0
4	36.51189011870942	37.0	37.0	37.0	37.0	37.0
5	36.51975619843139	37.0	37.0	37.0	37.0	37.0
6	36.5138582502744	37.0	37.0	37.0	37.0	37.0
7	36.49146525537768	37.0	37.0	37.0	37.0	37.0
8	36.485748925805005	37.0	37.0	37.0	37.0	37.0
9	36.47401502115367	37.0	37.0	37.0	37.0	37.0
10-14	36.46459179368868	37.0	37.0	37.0	37.0	37.0
15-19	36.42260702543708	37.0	37.0	37.0	37.0	37.0
20-24	36.376767398917316	37.0	37.0	37.0	37.0	37.0
25-29	36.321300841378104	37.0	37.0	37.0	37.0	37.0
30-34	36.25953740261956	37.0	37.0	37.0	37.0	37.0
35-39	36.21296956468087	37.0	37.0	37.0	37.0	37.0
40-44	36.151742348715835	37.0	37.0	37.0	37.0	37.0
45-49	36.102447776300394	37.0	37.0	37.0	37.0	37.0
50-54	36.05188512172267	37.0	37.0	37.0	37.0	37.0
55-59	35.981074057338944	37.0	37.0	37.0	37.0	37.0
60-64	35.94547849083641	37.0	37.0	37.0	37.0	37.0
65-69	35.87777754949823	37.0	37.0	37.0	37.0	37.0
70-74	35.82695706628022	37.0	37.0	37.0	37.0	37.0
75-79	35.75356390941376	37.0	37.0	37.0	37.0	37.0
80-84	35.65772363647884	37.0	37.0	37.0	37.0	37.0
85-89	35.63767307863392	37.0	37.0	37.0	37.0	37.0
90-94	35.57349620949243	37.0	37.0	37.0	37.0	37.0
95-99	35.50804612131166	37.0	37.0	37.0	37.0	37.0
100-104	35.39134203099819	37.0	37.0	37.0	37.0	37.0
105-109	35.30910934525723	37.0	37.0	37.0	37.0	37.0
110-114	35.18779368740989	37.0	37.0	37.0	25.0	37.0
115-119	35.084022856848165	37.0	37.0	37.0	25.0	37.0
120-124	34.97836778973956	37.0	37.0	37.0	25.0	37.0
125-129	34.900940346356165	37.0	37.0	37.0	25.0	37.0
130-134	34.76645035407013	37.0	37.0	37.0	25.0	37.0
135-139	34.75709503796664	37.0	37.0	37.0	25.0	37.0
140-144	34.516744945003225	37.0	37.0	37.0	25.0	37.0
145-149	34.4615744326844	37.0	37.0	37.0	25.0	37.0
150	34.39212403480365	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.05979690413970218
1101	2	-0.12673696385879651
1101	3	-0.08848136020517217
1101	4	-0.09154303875227754
1101	5	-0.10746990510303789
1101	6	-0.09104044726113614
1101	7	-0.12866731453035385
1101	8	-0.10153893449054152
1101	9	-0.12454423971355055
1101	10-14	-0.09797756965259907
1101	15-19	-0.101128320945584
1101	20-24	-0.11562966189240598
1101	25-29	-0.1298225123201604
1101	30-34	-0.1490074211775223
1101	35-39	-0.15138180543488744
1101	40-44	-0.14368944964849817
1101	45-49	-0.17097938297834503
1101	50-54	-0.16893912439211078
1101	55-59	-0.18351797998857933
1101	60-64	-0.20230163086871045
1101	65-69	-0.20800605199641353
1101	70-74	-0.14238019948693648
1101	75-79	-0.22238393199965145
1101	80-84	-0.21233574883325446
1101	85-89	-0.2470512183366651
1101	90-94	-0.22311106637053513
1101	95-99	-0.1822160608562342
1101	100-104	-0.23451160030579388
1101	105-109	-0.21377012008775154
1101	110-114	-0.15190787448670307
1101	115-119	-0.2364520965211625
1101	120-124	-0.2509086974253023
1101	125-129	-0.14237380705073832
1101	130-134	-0.08541288823235504
1101	135-139	-0.1893769482867853
1101	140-144	-0.08327623526548678
1101	145-149	-0.11553884928698466
1101	150	-0.02199964641769725
1102	1	-0.16399616462688726
1102	2	-0.106441878938071
1102	3	-0.14105374451635555
1102	4	-0.16647669177348945
1102	5	-0.13377310070392667
1102	6	-0.1366823286205232
1102	7	-0.13225055432045707
1102	8	-0.162114629926009
1102	9	-0.10327827277016155
1102	10-14	-0.1286548012561326
1102	15-19	-0.1521008328151794
1102	20-24	-0.1311683795735874
1102	25-29	-0.15249565141812127
1102	30-34	-0.1588346185710776
1102	35-39	-0.16698366429164935
1102	40-44	-0.1701269582888898
1102	45-49	-0.1885896953043087
1102	50-54	-0.20155609727164148
1102	55-59	-0.20261527248686662
1102	60-64	-0.20271517114699122
1102	65-69	-0.18496589263916263
1102	70-74	-0.17386643170198113
1102	75-79	-0.25367101411862336
1102	80-84	-0.17293084804595082
1102	85-89	-0.284132591761022
1102	90-94	-0.21991352253553487
1102	95-99	-0.21276189752234842
1102	100-104	-0.2543209606493875
1102	105-109	-0.21737666478524886
1102	110-114	-0.2090002151332726
1102	115-119	-0.2228035964000341
1102	120-124	-0.2431721518733454
1102	125-129	-0.20296129724793133
1102	130-134	-0.1235611249247981
1102	135-139	-0.17493133368708413
1102	140-144	-0.07399402822543522
1102	145-149	-0.16014593026779522
1102	150	-0.16300958316968917
1103	1	-0.09411716043817364
1103	2	-0.172174501985765
1103	3	-0.08695923951021456
1103	4	-0.1261069392625842
1103	5	-0.09506935445588027
1103	6	-0.08667979656937064
1103	7	-0.12944531195945075
1103	8	-0.13458319632983518
1103	9	-0.15405439605405036
1103	10-14	-0.12576125199361599
1103	15-19	-0.12527691843893507
1103	20-24	-0.12031452735180892
1103	25-29	-0.1593281635530559
1103	30-34	-0.13460370861918847
1103	35-39	-0.15196588342613637
1103	40-44	-0.16779471631129894
1103	45-49	-0.12443152783182398
1103	50-54	-0.18509353175714693
1103	55-59	-0.1627670391180871
1103	60-64	-0.19630350000443997
1103	65-69	-0.22135267836313233
1103	70-74	-0.1890146944402602
1103	75-79	-0.2604914368236422
1103	80-84	-0.1994204482749069
1103	85-89	-0.29832711523201993
1103	90-94	-0.23488243955870303
1103	95-99	-0.20796792093414496
1103	100-104	-0.24810682400506323
1103	105-109	-0.2178966425538178
1103	110-114	-0.19292203540111785
1103	115-119	-0.23634269390108642
1103	120-124	-0.25478646489565904
1103	125-129	-0.14764940045233033
1103	130-134	-0.14902055561330485
1103	135-139	-0.25312802669887446
1103	140-144	-0.029600272732309918
1103	145-149	-0.1499076986189607
1103	150	-0.028471453599465235
1104	1	-0.10549912012756835
1104	2	-0.09308612529524396
1104	3	-0.11181142258503485
1104	4	-0.05803580340259629
1104	5	-0.07116752522887282
1104	6	-0.12145497110223857
1104	7	-0.13152426513249793
1104	8	-0.09793131731008486
1104	9	-0.07728144744761067
1104	10-14	-0.10683713148773677
1104	15-19	-0.11849599031218361
1104	20-24	-0.09456725658005638
1104	25-29	-0.13530685031214063
1104	30-34	-0.14559686581785058
1104	35-39	-0.13764354303657456
1104	40-44	-0.13249213622309242
1104	45-49	-0.1571137401024032
1104	50-54	-0.16717872762039576
1104	55-59	-0.14370996063214392
1104	60-64	-0.19008533886119494
1104	65-69	-0.1727734966492207
1104	70-74	-0.12117621957939662
1104	75-79	-0.17429943577542417
1104	80-84	-0.17026803776658284
1104	85-89	-0.22958047463728803
1104	90-94	-0.18222403933731357
1104	95-99	-0.15158125015104673
1104	100-104	-0.20855283022530102
1104	105-109	-0.14451922621404378
1104	110-114	-0.1245862827237545
1104	115-119	-0.1493436700212598
1104	120-124	-0.1970266404457277
1104	125-129	-0.08817037710700504
1104	130-134	-0.04734798666277129
1104	135-139	-0.14506177314104463
1104	140-144	-0.029576312828311302
1104	145-149	9.873782517786367E-4
1104	150	-0.03210654778777666
1105	1	-0.0979379643373619
1105	2	-0.07513225049220296
1105	3	-0.07674859900266284
1105	4	-0.11448086857950557
1105	5	-0.08738430751549231
1105	6	-0.07952225577287209
1105	7	-0.09836023828411555
1105	8	-0.09827109671132206
1105	9	-0.09457332130931917
1105	10-14	-0.1017368347639831
1105	15-19	-0.10669321338705373
1105	20-24	-0.0865197828247588
1105	25-29	-0.08847034101138007
1105	30-34	-0.1257944449612367
1105	35-39	-0.13003458811812152
1105	40-44	-0.12075918351472126
1105	45-49	-0.14069495237244212
1105	50-54	-0.13903976881383784
1105	55-59	-0.1545852404733452
1105	60-64	-0.14523919115415396
1105	65-69	-0.15723167292360074
1105	70-74	-0.1522641725947267
1105	75-79	-0.18118143589819624
1105	80-84	-0.1548145712145086
1105	85-89	-0.2149256206458432
1105	90-94	-0.18942967094965013
1105	95-99	-0.16263545237340793
1105	100-104	-0.21505469549224898
1105	105-109	-0.16176639710646867
1105	110-114	-0.12976302469686374
1105	115-119	-0.15986753888982008
1105	120-124	-0.18942004090001774
1105	125-129	-0.14681841156789233
1105	130-134	-0.04727303219451784
1105	135-139	-0.14132963079548944
1105	140-144	-0.04567853927969168
1105	145-149	-0.03624591210776629
1105	150	-0.13321326602299166
1106	1	-0.10092327069467188
1106	2	-0.11668932450501046
1106	3	-0.1149741104544546
1106	4	-0.1440062228195984
1106	5	-0.055958649127269666
1106	6	-0.10655175608626877
1106	7	-0.13459722208000358
1106	8	-0.08923448590789462
1106	9	-0.08530681151184183
1106	10-14	-0.10162175785354322
1106	15-19	-0.10474714727594403
1106	20-24	-0.10244555115841081
1106	25-29	-0.12277671990185723
1106	30-34	-0.14118206633791175
1106	35-39	-0.15212507629642147
1106	40-44	-0.11237080485030049
1106	45-49	-0.17552725680828019
1106	50-54	-0.16232702952838451
1106	55-59	-0.13087406919478894
1106	60-64	-0.1628362370126979
1106	65-69	-0.1739219545688684
1106	70-74	-0.1435412350992138
1106	75-79	-0.22043822425836623
1106	80-84	-0.1765901556207652
1106	85-89	-0.19692453403555987
1106	90-94	-0.19947921010358272
1106	95-99	-0.1990492880306718
1106	100-104	-0.21455486554804537
1106	105-109	-0.16872119103584282
1106	110-114	-0.16547051280323188
1106	115-119	-0.19576735804498924
1106	120-124	-0.2143664255446467
1106	125-129	-0.1338631347006185
1106	130-134	-0.09904434979298316
1106	135-139	-0.17445518232084822
1106	140-144	0.0031516463945138184
1106	145-149	-0.10616083694413447
1106	150	-0.003770843524250722
1107	1	-0.10840352907565176
1107	2	-0.11851731721611714
1107	3	-0.14538639371483697
1107	4	-0.12662880604148796
1107	5	-0.0971094872943894
1107	6	-0.09153177242701815
1107	7	-0.10421707703764582
1107	8	-0.16753473665264806
1107	9	-0.12785993001741502
1107	10-14	-0.13417998885507387
1107	15-19	-0.12035690699372736
1107	20-24	-0.09513352473022962
1107	25-29	-0.12697930670133672
1107	30-34	-0.12356195596262864
1107	35-39	-0.1446644904471981
1107	40-44	-0.10014713385638885
1107	45-49	-0.12133448941941793
1107	50-54	-0.15276466237757802
1107	55-59	-0.15163214756073984
1107	60-64	-0.17826574118814165
1107	65-69	-0.14666539264739242
1107	70-74	-0.1490344133732293
1107	75-79	-0.22700115254519204
1107	80-84	-0.10956828843394106
1107	85-89	-0.1651905038342818
1107	90-94	-0.17828041689791263
1107	95-99	-0.1812057325064984
1107	100-104	-0.18501596879195858
1107	105-109	-0.1356196581704694
1107	110-114	-0.1289971111338417
1107	115-119	-0.20748284066793587
1107	120-124	-0.20208220325557136
1107	125-129	-0.11314750533912843
1107	130-134	-0.08720464108149883
1107	135-139	-0.2056910418362392
1107	140-144	-0.02004877648051462
1107	145-149	-0.10343142962056362
1107	150	0.08336023760836753
1108	1	-0.09404678744618877
1108	2	-0.1501083694683274
1108	3	-0.11211038936445306
1108	4	-0.14153949863813153
1108	5	-0.07086428749546769
1108	6	-0.09202819027880338
1108	7	-0.09489155531542792
1108	8	-0.1298432402834635
1108	9	-0.08368271641871416
1108	10-14	-0.1091956936228371
1108	15-19	-0.09545164324548949
1108	20-24	-0.1136134622184386
1108	25-29	-0.1326239660650117
1108	30-34	-0.15437403884082102
1108	35-39	-0.15908037676391018
1108	40-44	-0.12993719009272553
1108	45-49	-0.18451950549699347
1108	50-54	-0.1511952814693558
1108	55-59	-0.17853895132705588
1108	60-64	-0.18283239864735634
1108	65-69	-0.18618229497421623
1108	70-74	-0.1663318116623671
1108	75-79	-0.2010851539019214
1108	80-84	-0.18065819340813505
1108	85-89	-0.2322481217183423
1108	90-94	-0.18371103803101363
1108	95-99	-0.16290424974221196
1108	100-104	-0.24824068862824333
1108	105-109	-0.15495494279500832
1108	110-114	-0.15516683565067524
1108	115-119	-0.16969563841792024
1108	120-124	-0.21266818904817342
1108	125-129	-0.10808303333251956
1108	130-134	-0.08660682312830659
1108	135-139	-0.20699664066249568
1108	140-144	-0.0924563885575509
1108	145-149	-0.16826982173167693
1108	150	-0.05809843690816052
1109	1	-0.09682172339714157
1109	2	-0.13501512081291622
1109	3	-0.15815165749088322
1109	4	-0.12794910126569192
1109	5	-0.1225520212597857
1109	6	-0.0772165091043675
1109	7	-0.07378991552882042
1109	8	-0.11074819635735622
1109	9	-0.0711627187544508
1109	10-14	-0.09317558991636332
1109	15-19	-0.12760217228542814
1109	20-24	-0.09540078423958676
1109	25-29	-0.14726990634647308
1109	30-34	-0.1392530705824484
1109	35-39	-0.1617990068878825
1109	40-44	-0.1560852118215692
1109	45-49	-0.16724484740929313
1109	50-54	-0.16558603942978323
1109	55-59	-0.17131630139282805
1109	60-64	-0.18010467130309138
1109	65-69	-0.14882390871526496
1109	70-74	-0.1444224549787947
1109	75-79	-0.18598771478860243
1109	80-84	-0.14088439316024193
1109	85-89	-0.2256759092306595
1109	90-94	-0.17098372620470315
1109	95-99	-0.2042701739784505
1109	100-104	-0.19608910169707627
1109	105-109	-0.17930822913479005
1109	110-114	-0.17059478409374407
1109	115-119	-0.12641399542587806
1109	120-124	-0.18102964592190318
1109	125-129	-0.09517668833349546
1109	130-134	-0.0462106171738057
1109	135-139	-0.206802074266065
1109	140-144	-0.01584777000964266
1109	145-149	-0.048084218804469
1109	150	-0.008544025077654283
1110	1	-0.13213842311141377
1110	2	-0.13123929777142251
1110	3	-0.20714938911353187
1110	4	-0.1382783708096582
1110	5	-0.1326939162831735
1110	6	-0.11220302549378403
1110	7	-0.11573203642353036
1110	8	-0.10714531615824541
1110	9	-0.08531347678275125
1110	10-14	-0.13733619757779536
1110	15-19	-0.10224365304552663
1110	20-24	-0.11954258134648654
1110	25-29	-0.1362574825941536
1110	30-34	-0.14830175985864713
1110	35-39	-0.15492241786197525
1110	40-44	-0.13441054072129788
1110	45-49	-0.1734247726859337
1110	50-54	-0.1763794527694884
1110	55-59	-0.13546961666806823
1110	60-64	-0.1447552737334803
1110	65-69	-0.14425860041180982
1110	70-74	-0.14744258472674687
1110	75-79	-0.229614378424003
1110	80-84	-0.15726207344466303
1110	85-89	-0.22908386583508644
1110	90-94	-0.16792774664736498
1110	95-99	-0.1391508467916509
1110	100-104	-0.19500809806648078
1110	105-109	-0.21416559425188098
1110	110-114	-0.17063484195186618
1110	115-119	-0.19699562605688925
1110	120-124	-0.21545160710366673
1110	125-129	-0.1065916370043638
1110	130-134	-0.07830945375690135
1110	135-139	-0.19413689471800666
1110	140-144	0.01195845575025345
1110	145-149	-0.04660666143872305
1110	150	-0.011655728110412156
1111	1	-0.09930119990162467
1111	2	-0.14264818133946733
1111	3	-0.12261811097376096
1111	4	-0.10349401331446728
1111	5	-0.0843221455739851
1111	6	-0.07988871628764116
1111	7	-0.09716095471299013
1111	8	-0.09478659892592134
1111	9	-0.07030132326877947
1111	10-14	-0.12184500940117005
1111	15-19	-0.10536215997126419
1111	20-24	-0.08933581980962657
1111	25-29	-0.10915424075216151
1111	30-34	-0.13887707105067904
1111	35-39	-0.1459678275604901
1111	40-44	-0.12712706872280677
1111	45-49	-0.1274270385888414
1111	50-54	-0.16721325278093957
1111	55-59	-0.14906625408752916
1111	60-64	-0.15598336481161823
1111	65-69	-0.14682716003400031
1111	70-74	-0.14403799742684242
1111	75-79	-0.1870932335019404
1111	80-84	-0.1510420822875247
1111	85-89	-0.20384926790157465
1111	90-94	-0.17348677298463144
1111	95-99	-0.17508783740800737
1111	100-104	-0.24283355471703771
1111	105-109	-0.18297692718219594
1111	110-114	-0.16892471820408872
1111	115-119	-0.1784238203994235
1111	120-124	-0.21928296621587862
1111	125-129	-0.12803661620937135
1111	130-134	-0.09664868177711128
1111	135-139	-0.20335092771545504
1111	140-144	0.01739746137345577
1111	145-149	-0.35710283452526426
1111	150	0.03348969154237835
1112	1	-0.09606722278342517
1112	2	-0.12225060165022228
1112	3	-0.10477147597695335
1112	4	-0.14552010648586844
1112	5	-0.08691802095128764
1112	6	-0.08680194980219369
1112	7	-0.05004665375263073
1112	8	-0.12753464228820377
1112	9	-0.08906202447526823
1112	10-14	-0.09211741412512708
1112	15-19	-0.09846381328789988
1112	20-24	-0.09212756666213551
1112	25-29	-0.12358422301435468
1112	30-34	-0.14508967125204464
1112	35-39	-0.15413739993199016
1112	40-44	-0.11068123181841827
1112	45-49	-0.13908671524516336
1112	50-54	-0.16749366073252503
1112	55-59	-0.15371116298910437
1112	60-64	-0.17735066505457553
1112	65-69	-0.1584655492604412
1112	70-74	-0.1373286247513903
1112	75-79	-0.1742706136020047
1112	80-84	-0.1805553708462142
1112	85-89	-0.26306527288750203
1112	90-94	-0.1700187211656683
1112	95-99	-0.17304306622708054
1112	100-104	-0.19785205720341992
1112	105-109	-0.15503451099554866
1112	110-114	-0.16080060172073019
1112	115-119	-0.16406229064278222
1112	120-124	-0.2595480173855975
1112	125-129	-0.12709325397882765
1112	130-134	-0.055946422661264705
1112	135-139	-0.21043793874930117
1112	140-144	-0.05858331298888686
1112	145-149	-0.14093219300584536
1112	150	-0.00864537877885141
1113	1	-0.10456353723639467
1113	2	-0.13146474668972274
1113	3	-0.10212677552883065
1113	4	-0.12889800981964328
1113	5	-0.14497305064954702
1113	6	-0.10035362764813982
1113	7	-0.09898688497406027
1113	8	-0.08419830126722871
1113	9	-0.07688390711911097
1113	10-14	-0.10870305557581617
1113	15-19	-0.1436302730696184
1113	20-24	-0.09310394984093051
1113	25-29	-0.1256337780518635
1113	30-34	-0.1570598299847532
1113	35-39	-0.16640976712537991
1113	40-44	-0.15226310828366252
1113	45-49	-0.16109525101263955
1113	50-54	-0.17294150304932998
1113	55-59	-0.14705177963259786
1113	60-64	-0.15190376767628777
1113	65-69	-0.12679204675443145
1113	70-74	-0.1389545974116686
1113	75-79	-0.16088403017704422
1113	80-84	-0.12223309726594778
1113	85-89	-0.1958014108296311
1113	90-94	-0.16873556441947812
1113	95-99	-0.13817576526344766
1113	100-104	-0.19799948419546354
1113	105-109	-0.11554137853619295
1113	110-114	-0.1266973473495554
1113	115-119	-0.16334681902039705
1113	120-124	-0.17879868079855044
1113	125-129	-0.054174922783317925
1113	130-134	-0.0807374849148701
1113	135-139	-0.19352118801970164
1113	140-144	-0.0046782082994383245
1113	145-149	-0.05439420541186024
1113	150	-0.04032069059233834
1114	1	-0.10107702881271052
1114	2	-0.1541411000497277
1114	3	-0.1460166141733339
1114	4	-0.14762246149985714
1114	5	-0.06685396617541528
1114	6	-0.11098369698652277
1114	7	-0.08499551009195017
1114	8	-0.10566932679981278
1114	9	-0.1375088459616549
1114	10-14	-0.0898402481647338
1114	15-19	-0.103571468760002
1114	20-24	-0.1137140938234964
1114	25-29	-0.1345569402528568
1114	30-34	-0.13518471044795177
1114	35-39	-0.1636209345150874
1114	40-44	-0.1400934439445578
1114	45-49	-0.14382883353552245
1114	50-54	-0.17402902292256783
1114	55-59	-0.14548245918383174
1114	60-64	-0.15942616966236756
1114	65-69	-0.14052004207657376
1114	70-74	-0.12497744693101254
1114	75-79	-0.2224816887427039
1114	80-84	-0.1272220933384105
1114	85-89	-0.18733086716922998
1114	90-94	-0.18906456349073153
1114	95-99	-0.19477843593852384
1114	100-104	-0.1716614590826424
1114	105-109	-0.11589294577903786
1114	110-114	-0.1366489286159549
1114	115-119	-0.14741962485695126
1114	120-124	-0.16577920651316447
1114	125-129	-0.08157403735803115
1114	130-134	-0.10100602840185502
1114	135-139	-0.1889202755489663
1114	140-144	0.031417668052796444
1114	145-149	-0.08154148732901234
1114	150	-0.01977963770440283
1115	1	-0.07290102438979318
1115	2	-0.1041816971934253
1115	3	-0.07637609785204091
1115	4	-0.07913740310814887
1115	5	-0.1058123686685093
1115	6	-0.07321673078938318
1115	7	-0.08095390886622766
1115	8	-0.06877564916964474
1115	9	-0.06316560114042602
1115	10-14	-0.08109544441318661
1115	15-19	-0.07840213020213582
1115	20-24	-0.08643397849041179
1115	25-29	-0.08788771239193238
1115	30-34	-0.09981367734671664
1115	35-39	-0.09457762535823377
1115	40-44	-0.07749441654054579
1115	45-49	-0.09107117753402605
1115	50-54	-0.11756844429859825
1115	55-59	-0.07017658579982111
1115	60-64	-0.11719779480011994
1115	65-69	-0.09033782424531012
1115	70-74	-0.08697841828740138
1115	75-79	-0.12510112653114192
1115	80-84	-0.07766193779247033
1115	85-89	-0.14454484002430945
1115	90-94	-0.11131279983924713
1115	95-99	-0.12587403520814178
1115	100-104	-0.15717281227531288
1115	105-109	-0.07239848843578756
1115	110-114	-0.0881627575526096
1115	115-119	-0.10955480801515449
1115	120-124	-0.14766694022564764
1115	125-129	-0.04245872733841338
1115	130-134	-0.004151610626870195
1115	135-139	-0.12078040221204134
1115	140-144	0.0591427141971792
1115	145-149	-0.004870873586966695
1115	150	0.07188464684995921
1116	1	-0.03123672083501816
1116	2	-0.07268517215501191
1116	3	-0.06680593635758925
1116	4	-0.08862589777885432
1116	5	-0.08485191425479144
1116	6	-0.053730042595397265
1116	7	-0.040540852186261134
1116	8	-0.03418222010881067
1116	9	-0.042793775170395065
1116	10-14	-0.058630635023639854
1116	15-19	-0.046434194169300724
1116	20-24	-0.02843322686715055
1116	25-29	-0.03394700522625271
1116	30-34	-0.058739028395351056
1116	35-39	-0.06743320096386185
1116	40-44	-0.05263899869245847
1116	45-49	-0.07383150610862543
1116	50-54	-0.05556918536984767
1116	55-59	-0.043030424678541124
1116	60-64	-0.04344698439411587
1116	65-69	-0.06281214860396744
1116	70-74	-0.04661522135245377
1116	75-79	-0.05321417816889351
1116	80-84	-0.04245157836749058
1116	85-89	-0.06686127470635483
1116	90-94	-0.06214462111575614
1116	95-99	-0.011761751041056812
1116	100-104	-0.062086129345729546
1116	105-109	-0.0014050335486501808
1116	110-114	-0.0023229406283959975
1116	115-119	-0.004063467764851225
1116	120-124	-0.038102897450485784
1116	125-129	0.05748703140821476
1116	130-134	0.09744105507278533
1116	135-139	0.08275021498849355
1116	140-144	0.13581619348330776
1116	145-149	0.09308704341937357
1116	150	0.26619562854835266
1117	1	-0.11547679390706378
1117	2	-0.031528897958835955
1117	3	-0.07209474166764096
1117	4	-0.08837874047961947
1117	5	-0.07220984914869177
1117	6	-0.019890512150027462
1117	7	-0.02641284457824611
1117	8	-0.007569341115143402
1117	9	-0.04187288622892993
1117	10-14	-0.03531202581994819
1117	15-19	-0.05742720287220493
1117	20-24	-0.07492813114527763
1117	25-29	-0.06628402066804995
1117	30-34	-0.07431847145038972
1117	35-39	-0.042747116758043546
1117	40-44	-0.07075929487164956
1117	45-49	-0.06821517006045497
1117	50-54	-0.07385814615615516
1117	55-59	-0.05171882493461766
1117	60-64	-0.04845437659299989
1117	65-69	-0.06317232805709949
1117	70-74	-0.030892634637282868
1117	75-79	-0.0839205547002777
1117	80-84	-0.03722496165358535
1117	85-89	-0.052473618684778955
1117	90-94	-0.04063694364108983
1117	95-99	-0.018232901511375132
1117	100-104	-0.04537007974756335
1117	105-109	0.04859929461221668
1117	110-114	-0.014421597209441472
1117	115-119	0.013515221973634084
1117	120-124	-0.024913436350153972
1117	125-129	0.09126977474309683
1117	130-134	0.07830935764342684
1117	135-139	0.04268539844802177
1117	140-144	0.16446025037888745
1117	145-149	0.11985924430929629
1117	150	0.24607752830667806
1118	1	-0.08327165511141743
1118	2	-0.0923638323659901
1118	3	-0.07870876421970507
1118	4	-0.0978375547068353
