##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	2450131_TruSeqCD_AHT377DSXX_L1_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	183755772
Sequences flagged as poor quality	0
Sequence length	150
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.23341612909988	37.0	37.0	37.0	37.0	37.0
2	36.47416626455685	37.0	37.0	37.0	37.0	37.0
3	36.6319182234994	37.0	37.0	37.0	37.0	37.0
4	36.64426845323803	37.0	37.0	37.0	37.0	37.0
5	36.69281720848475	37.0	37.0	37.0	37.0	37.0
6	36.698746137890026	37.0	37.0	37.0	37.0	37.0
7	36.69690681607542	37.0	37.0	37.0	37.0	37.0
8	36.71154517529931	37.0	37.0	37.0	37.0	37.0
9	36.69372881522328	37.0	37.0	37.0	37.0	37.0
10-14	36.70540490885914	37.0	37.0	37.0	37.0	37.0
15-19	36.69370147240871	37.0	37.0	37.0	37.0	37.0
20-24	36.66862419211517	37.0	37.0	37.0	37.0	37.0
25-29	36.63137141618604	37.0	37.0	37.0	37.0	37.0
30-34	36.59276571078267	37.0	37.0	37.0	37.0	37.0
35-39	36.567567103143844	37.0	37.0	37.0	37.0	37.0
40-44	36.54520404398507	37.0	37.0	37.0	37.0	37.0
45-49	36.50752701036243	37.0	37.0	37.0	37.0	37.0
50-54	36.484093702373606	37.0	37.0	37.0	37.0	37.0
55-59	36.45105076644885	37.0	37.0	37.0	37.0	37.0
60-64	36.4237011972609	37.0	37.0	37.0	37.0	37.0
65-69	36.4025206304812	37.0	37.0	37.0	37.0	37.0
70-74	36.376820444040256	37.0	37.0	37.0	37.0	37.0
75-79	36.34247143431228	37.0	37.0	37.0	37.0	37.0
80-84	36.31267493572936	37.0	37.0	37.0	37.0	37.0
85-89	36.28429675449868	37.0	37.0	37.0	37.0	37.0
90-94	36.24889651030935	37.0	37.0	37.0	37.0	37.0
95-99	36.2249455369489	37.0	37.0	37.0	37.0	37.0
100-104	36.15667666537299	37.0	37.0	37.0	37.0	37.0
105-109	36.1264610017257	37.0	37.0	37.0	37.0	37.0
110-114	36.08555644935061	37.0	37.0	37.0	37.0	37.0
115-119	36.039251414644	37.0	37.0	37.0	37.0	37.0
120-124	36.02104159862798	37.0	37.0	37.0	37.0	37.0
125-129	36.00084649422604	37.0	37.0	37.0	37.0	37.0
130-134	35.939016623651966	37.0	37.0	37.0	37.0	37.0
135-139	35.867258650248004	37.0	37.0	37.0	37.0	37.0
140-144	35.849588552788425	37.0	37.0	37.0	37.0	37.0
145-149	35.80011752555997	37.0	37.0	37.0	37.0	37.0
150	35.72753802802995	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.0845708252429418
1101	2	-0.11063372346175981
1101	3	-0.05229583380139502
1101	4	-0.08477623311473081
1101	5	-0.04104168733410063
1101	6	-0.044074487086064096
1101	7	-0.069649097536022
1101	8	-0.055040654247477505
1101	9	-0.0642781695575465
1101	10-14	-0.0486605064882184
1101	15-19	-0.03991546243300803
1101	20-24	-0.05506284834239494
1101	25-29	-0.04657260011403963
1101	30-34	-0.05250313725325384
1101	35-39	-0.04135452829073216
1101	40-44	-0.04622935334533196
1101	45-49	-0.06906465412330931
1101	50-54	-0.06632200451078774
1101	55-59	-0.06594586572371952
1101	60-64	-0.06450705855920802
1101	65-69	-0.09522504029234824
1101	70-74	-0.0702904180142454
1101	75-79	-0.07734368445404272
1101	80-84	-0.07877297744918366
1101	85-89	-0.08930684767028652
1101	90-94	-0.07854631273386303
1101	95-99	-0.08440399201592186
1101	100-104	-0.10104303179370788
1101	105-109	-0.08603155665758067
1101	110-114	-0.08718955079938695
1101	115-119	-0.06859150295673544
1101	120-124	-0.06957132502424912
1101	125-129	-0.08860501763724216
1101	130-134	-0.06196864600893548
1101	135-139	-0.028277587266622106
1101	140-144	-0.04770014983179749
1101	145-149	-0.046164777367899035
1101	150	-0.04437322413487266
1102	1	-0.08288028267935488
1102	2	-0.033240642463340464
1102	3	-0.024861542630453926
1102	4	-0.07262994000941347
1102	5	-0.04265061798584924
1102	6	-0.022549269895314694
1102	7	-0.021827695293573868
1102	8	-0.013198036552850567
1102	9	-0.06805854855495852
1102	10-14	-0.031445992003966694
1102	15-19	-0.02490209967304935
1102	20-24	-0.04454332375931358
1102	25-29	-0.029820399098007044
1102	30-34	-0.04927022574752016
1102	35-39	-0.028580258212272724
1102	40-44	-0.03825992091998387
1102	45-49	-0.05104196386637483
1102	50-54	-0.040926479615663425
1102	55-59	-0.063244637811259
1102	60-64	-0.021631691819273158
1102	65-69	-0.06568602751983832
1102	70-74	-0.06436861846045616
1102	75-79	-0.038462538970222226
1102	80-84	-0.05039659397774443
1102	85-89	-0.02215598852042433
1102	90-94	-0.04898556821999733
1102	95-99	-0.04962309065842874
1102	100-104	-0.06905658397317893
1102	105-109	-0.042251589680553536
1102	110-114	-0.05216314602400729
1102	115-119	-0.08521462059783147
1102	120-124	-0.044784287000787515
1102	125-129	-0.05379113578771921
1102	130-134	-0.01974474206432575
1102	135-139	-0.012993155832042191
1102	140-144	-0.03923919472001813
1102	145-149	-0.01206300707337249
1102	150	0.03337185892250005
1103	1	-0.05428602683036132
1103	2	-0.09036899457625935
1103	3	-0.05847102012241123
1103	4	-0.07263214681263008
1103	5	-0.05088459278703539
1103	6	0.0033121311801451725
1103	7	-0.048358730479456824
1103	8	-0.06074396998824483
1103	9	-0.10775041126669294
1103	10-14	-0.03802876211005923
1103	15-19	-0.025758761324027546
1103	20-24	-0.04532495216511734
1103	25-29	-0.05630996574132752
1103	30-34	-0.04551737975173609
1103	35-39	-0.054397269634606005
1103	40-44	-0.05067369329044169
1103	45-49	-0.08428685133365832
1103	50-54	-0.07038740806549981
1103	55-59	-0.06304782096906791
1103	60-64	-0.03689819386906379
1103	65-69	-0.06194229813787189
1103	70-74	-0.07407111530198307
1103	75-79	-0.07676128455889852
1103	80-84	-0.06921533877140718
1103	85-89	-0.06443352578165928
1103	90-94	-0.07015934468638818
1103	95-99	-0.07717766150225458
1103	100-104	-0.09154357483190978
1103	105-109	-0.07889665276002233
1103	110-114	-0.10928204179154477
1103	115-119	-0.08594363416904116
1103	120-124	-0.06444840874423363
1103	125-129	-0.09300253678743076
1103	130-134	-0.05504935028225333
1103	135-139	-0.02474586674824053
1103	140-144	-0.04447583906105024
1103	145-149	-0.04566029100965352
1103	150	-0.028622804011035896
1104	1	-0.11609946123213177
1104	2	-0.07097167455339104
1104	3	-0.055339080266882945
1104	4	-0.04466477225235366
1104	5	-0.041262535069471085
1104	6	-0.041733941479975556
1104	7	-0.09937124889610516
1104	8	-0.06377405822191662
1104	9	-0.05741753114973136
1104	10-14	-0.03850110608428281
1104	15-19	-0.041910382180141426
1104	20-24	-0.03828449878802331
1104	25-29	-0.04792854084469411
1104	30-34	-0.02973736483101419
1104	35-39	-0.03382224466254513
1104	40-44	-0.054066786744172646
1104	45-49	-0.02748286274348999
1104	50-54	-0.060698650598610016
1104	55-59	-0.04184731895868765
1104	60-64	-0.03038342320590459
