##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	2450131_TruSeqCD_AHT377DSXX_L4_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	186698912
Sequences flagged as poor quality	0
Sequence length	150
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.209774677208614	37.0	37.0	37.0	37.0	37.0
2	36.45200031481705	37.0	37.0	37.0	37.0	37.0
3	36.617591333365674	37.0	37.0	37.0	37.0	37.0
4	36.62597476733019	37.0	37.0	37.0	37.0	37.0
5	36.67886960691019	37.0	37.0	37.0	37.0	37.0
6	36.681030808578036	37.0	37.0	37.0	37.0	37.0
7	36.685770139892405	37.0	37.0	37.0	37.0	37.0
8	36.693633763650425	37.0	37.0	37.0	37.0	37.0
9	36.684239723903694	37.0	37.0	37.0	37.0	37.0
10-14	36.693427073640365	37.0	37.0	37.0	37.0	37.0
15-19	36.677693269042734	37.0	37.0	37.0	37.0	37.0
20-24	36.65792000223333	37.0	37.0	37.0	37.0	37.0
25-29	36.61330758156748	37.0	37.0	37.0	37.0	37.0
30-34	36.57585193961923	37.0	37.0	37.0	37.0	37.0
35-39	36.55002989733545	37.0	37.0	37.0	37.0	37.0
40-44	36.52337006441687	37.0	37.0	37.0	37.0	37.0
45-49	36.4942465449397	37.0	37.0	37.0	37.0	37.0
50-54	36.46670002876074	37.0	37.0	37.0	37.0	37.0
55-59	36.433104677117775	37.0	37.0	37.0	37.0	37.0
60-64	36.40366223880297	37.0	37.0	37.0	37.0	37.0
65-69	36.376357138064094	37.0	37.0	37.0	37.0	37.0
70-74	36.34909639859069	37.0	37.0	37.0	37.0	37.0
75-79	36.323766617343765	37.0	37.0	37.0	37.0	37.0
80-84	36.287627164104734	37.0	37.0	37.0	37.0	37.0
85-89	36.249940565266925	37.0	37.0	37.0	37.0	37.0
90-94	36.2256439876843	37.0	37.0	37.0	37.0	37.0
95-99	36.186954846314265	37.0	37.0	37.0	37.0	37.0
100-104	36.133920021987066	37.0	37.0	37.0	37.0	37.0
105-109	36.107725436557445	37.0	37.0	37.0	37.0	37.0
110-114	36.051085064705674	37.0	37.0	37.0	37.0	37.0
115-119	36.02674244293401	37.0	37.0	37.0	37.0	37.0
120-124	35.978383959730834	37.0	37.0	37.0	37.0	37.0
125-129	35.94991494969183	37.0	37.0	37.0	37.0	37.0
130-134	35.8872843543941	37.0	37.0	37.0	37.0	37.0
135-139	35.83343884724941	37.0	37.0	37.0	37.0	37.0
140-144	35.793213819049996	37.0	37.0	37.0	37.0	37.0
145-149	35.74475177552186	37.0	37.0	37.0	37.0	37.0
150	35.697092385841	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.03160472063759556
1101	2	-0.006807246304312287
1101	3	-0.02917929300623001
1101	4	0.008588862956941057
1101	5	-0.005080506148637198
1101	6	-0.006294919404815857
1101	7	0.009333815076047358
1101	8	-0.00906042233220461
1101	9	-0.008655338530225265
1101	10-14	-0.017385280212444343
1101	15-19	-0.01134729387328548
1101	20-24	-0.025030128613884983
1101	25-29	-0.016494488559224862
1101	30-34	-0.00535261754149019
1101	35-39	-0.027030635755394883
1101	40-44	-0.012171770688979677
1101	45-49	3.745732315039163E-4
1101	50-54	0.0015134322497090125
1101	55-59	-0.005179422069879536
1101	60-64	-0.026309239412341867
1101	65-69	-0.01798613317544806
1101	70-74	0.0018626143609310475
1101	75-79	-0.020577749995936756
1101	80-84	0.007679097801585044
1101	85-89	-0.030166207812868606
1101	90-94	-0.014294913820620536
1101	95-99	0.004018903130059925
1101	100-104	-0.034650670393723715
1101	105-109	0.021864414684479527
1101	110-114	-0.03144797013614209
1101	115-119	-0.007665033201405436
1101	120-124	-0.030950307461388604
1101	125-129	0.020706331376075582
1101	130-134	0.05687144476979
1101	135-139	0.07406016633692047
1101	140-144	0.05173118273382471
1101	145-149	0.05297398670428066
1101	150	-8.470271926270811E-4
1102	1	0.007812313215275424
1102	2	0.01959156532191031
1102	3	-0.028928052668597104
1102	4	0.009765207555318511
1102	5	0.009177807302755525
1102	6	-0.027040592981997236
1102	7	-0.013469181138354713
1102	8	-0.019979066973242254
1102	9	-0.049267292812636754
1102	10-14	-0.004401129079340649
1102	15-19	-0.018550558443521936
1102	20-24	-0.008874450079680685
1102	25-29	-0.020603891152617848
1102	30-34	-0.015012811538817061
1102	35-39	-0.010836415697319524
1102	40-44	-0.037587659092004344
1102	45-49	-0.001459120263163527
1102	50-54	-0.011857077468654609
1102	55-59	-0.023626941791228262
1102	60-64	-0.040506105678247195
1102	65-69	-0.0166964543131769
1102	70-74	-0.02502665005601301
1102	75-79	-0.0016851175645484773
1102	80-84	-0.02183897767021392
1102	85-89	-0.03621863691066096
1102	90-94	-0.004336621435363952
1102	95-99	-0.009111677794862771
1102	100-104	-0.054414569132198665
1102	105-109	-0.012336494058530434
1102	110-114	-0.033974925172280734
1102	115-119	-0.028235365782542488
1102	120-124	-0.04192300672425375
1102	125-129	-0.002266441381678419
1102	130-134	0.064365795087447
1102	135-139	0.07376239058214651
1102	140-144	0.06592876577084894
1102	145-149	0.06649326907389508
1102	150	-0.03456456513647055
1103	1	0.013367161559500573
1103	2	0.05595386442896455
1103	3	0.001716306413314328
1103	4	-0.0036942669877859657
1103	5	-0.01133376815300835
1103	6	-0.0245514213055813
1103	7	0.023172750108287232
1103	8	-0.02257354081437768
1103	9	-0.03103260870393143
1103	10-14	-0.02023354665411148
1103	15-19	-0.019478605065110344
1103	20-24	-0.008102483223105139
1103	25-29	-0.003777006690150131
