##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	2450111_TruSeqCD_AHT377DSXX_L4_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	219867720
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.241814209925856	37.0	37.0	37.0	37.0	37.0
2	36.47544294360264	37.0	37.0	37.0	37.0	37.0
3	36.634012696361246	37.0	37.0	37.0	37.0	37.0
4	36.63885195607614	37.0	37.0	37.0	37.0	37.0
5	36.68768931610334	37.0	37.0	37.0	37.0	37.0
6	36.689598873358946	37.0	37.0	37.0	37.0	37.0
7	36.69551998810921	37.0	37.0	37.0	37.0	37.0
8	36.69667112116321	37.0	37.0	37.0	37.0	37.0
9	36.697005435813864	37.0	37.0	37.0	37.0	37.0
10-14	36.7028924709821	37.0	37.0	37.0	37.0	37.0
15-19	36.68459471722361	37.0	37.0	37.0	37.0	37.0
20-24	36.667611104531396	37.0	37.0	37.0	37.0	37.0
25-29	36.626101811580156	37.0	37.0	37.0	37.0	37.0
30-34	36.59008476005482	37.0	37.0	37.0	37.0	37.0
35-39	36.566282125452524	37.0	37.0	37.0	37.0	37.0
40-44	36.54144860555247	37.0	37.0	37.0	37.0	37.0
45-49	36.51457435043216	37.0	37.0	37.0	37.0	37.0
50-54	36.4887251716623	37.0	37.0	37.0	37.0	37.0
55-59	36.45708106310467	37.0	37.0	37.0	37.0	37.0
60-64	36.42937264915468	37.0	37.0	37.0	37.0	37.0
65-69	36.40408255472882	37.0	37.0	37.0	37.0	37.0
70-74	36.37842720704977	37.0	37.0	37.0	37.0	37.0
75-79	36.35436348546299	37.0	37.0	37.0	37.0	37.0
80-84	36.31948306736433	37.0	37.0	37.0	37.0	37.0
85-89	36.283092663170386	37.0	37.0	37.0	37.0	37.0
90-94	36.2598032971825	37.0	37.0	37.0	37.0	37.0
95-99	36.222868872247375	37.0	37.0	37.0	37.0	37.0
100-104	36.17049617651922	37.0	37.0	37.0	37.0	37.0
105-109	36.145973555372294	37.0	37.0	37.0	37.0	37.0
110-114	36.09015808050404	37.0	37.0	37.0	37.0	37.0
115-119	36.066498302706734	37.0	37.0	37.0	37.0	37.0
120-124	36.01903685725217	37.0	37.0	37.0	37.0	37.0
125-129	35.99061660711268	37.0	37.0	37.0	37.0	37.0
130-134	35.92901271364436	37.0	37.0	37.0	37.0	37.0
135-139	35.87539883344404	37.0	37.0	37.0	37.0	37.0
140-144	35.835743404261436	37.0	37.0	37.0	37.0	37.0
145-149	35.78682079206534	37.0	37.0	37.0	37.0	37.0
150	35.73984542160168	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.018776692984005194
1101	2	-0.007455300304947343
1101	3	-0.029759399032975864
1101	4	0.009067448055517957
1101	5	-0.025141431449611673
1101	6	-0.012447006764297441
1101	7	9.539530235258553E-5
1101	8	-0.016817991492366957
1101	9	-0.022401025308298017
1101	10-14	-0.002437563685539601
1101	15-19	-0.008692686416488016
1101	20-24	-0.024622318595987736
1101	25-29	-0.00840849642821695
1101	30-34	-0.02495660198441385
1101	35-39	-0.023775637819959172
1101	40-44	-0.027051213008284947
1101	45-49	-0.022280096470119304
1101	50-54	0.00984745817734023
1101	55-59	-0.01230542635953924
1101	60-64	-0.02249432350350844
1101	65-69	-0.011167626680190779
1101	70-74	0.023484813852533648
1101	75-79	-8.897102039497895E-4
1101	80-84	0.007912376366938645
1101	85-89	-0.011684880574932777
1101	90-94	0.013412600710417166
1101	95-99	-0.011607786984733082
1101	100-104	-0.0229933165185372
1101	105-109	0.021462058184638977
1101	110-114	-0.017552233338044232
1101	115-119	0.01886445483558674
1101	120-124	0.001844704753089843
1101	125-129	0.03155779510872492
1101	130-134	0.08432658766851375
1101	135-139	0.09730616861252628
1101	140-144	0.10378930664526109
1101	145-149	0.08888444730110479
1101	150	-0.001701867871020113
1102	1	-0.005492182035240489
1102	2	0.02278396619356471
1102	3	-0.030458875532879404
1102	4	-0.032445313332004844
1102	5	-0.016832372513995608
1102	6	-0.02655185804491822
1102	7	-7.327426960870298E-4
1102	8	-3.6981390190504726E-4
1102	9	-0.019252786555775003
1102	10-14	-0.015102648647669525
1102	15-19	-0.011034637842243455
1102	20-24	-0.01057006162399432
1102	25-29	-0.009249587524479352
1102	30-34	-0.02767926511011609
1102	35-39	-0.03974890341256554
1102	40-44	-0.039371093611940466
1102	45-49	-0.026500630512558132
1102	50-54	-0.020153916507034353
1102	55-59	-0.012510164879543595
1102	60-64	-0.04581918889763159
1102	65-69	-0.04165447032149672
1102	70-74	-0.007744548302142107
1102	75-79	-0.018575758761002703
1102	80-84	-0.012863815561502179
1102	85-89	-0.010438635873008195
1102	90-94	-0.008963739377378488
1102	95-99	-0.011970004266338208
1102	100-104	-0.04650387421729363
1102	105-109	-0.0076891060047685755
1102	110-114	-0.02186485266118865
1102	115-119	-0.016485062227005187
1102	120-124	-0.034976009553382426
1102	125-129	-0.019711023884028123
1102	130-134	0.04852201838613723
1102	135-139	0.06561916638364096
1102	140-144	0.06258880339959205
1102	145-149	0.049427609835056785
1102	150	-0.0022447919278718587
1103	1	-0.02324173433114396
1103	2	0.02552912684991071
1103	3	-0.002881737200375767
1103	4	0.01582877253689219
1103	5	-0.009360851452804297
1103	6	-0.018275865174040007
1103	7	0.0022268128036060375
1103	8	-0.02052179546164723
1103	9	-0.030153926245084506
1103	10-14	-0.019680183941972018
1103	15-19	-0.021860917547080305
1103	20-24	-0.022714582381723858
1103	25-29	-0.03807322790328982
1103	30-34	-0.033172422263582746
1103	35-39	-0.019851904939130804
1103	40-44	-0.018010165483310914
1103	45-49	-0.00889999868350344
1103	50-54	-0.013285230589630714
1103	55-59	-0.021392381615221723
1103	60-64	-0.018470517763610417
1103	65-69	-0.01879867267611246
1103	70-74	-0.02083002463706407
1103	75-79	-0.02457536539603211
1103	80-84	-0.013941571414640919
1103	85-89	-0.023164757756624965
1103	90-94	0.0030431514734416965
1103	95-99	-0.006136565476801081
1103	100-104	-0.0154299708833463
1103	105-109	0.02427586385111624
1103	110-114	-0.01688640092005045
1103	115-119	-0.021923762540495773
1103	120-124	-0.03264195790851687
1103	125-129	0.0181184616005865
1103	130-134	0.02707454524234265
1103	135-139	0.06904442968212976
1103	140-144	0.09349475289850062
1103	145-149	0.06512178573311189
1103	150	0.06572144686891335
1104	1	-0.016199877954349517
1104	2	-0.018985347405426012
1104	3	-0.03584782038257828
1104	4	-0.024283304153975394
1104	5	-0.02823875112536456
1104	6	-0.009509380016716307
1104	7	-0.040425786757175786
1104	8	7.04277524214092E-4
1104	9	-0.00939776750156085
1104	10-14	-0.02260138350401064
1104	15-19	-0.03319657871283965
1104	20-24	-0.03310564835530272
1104	25-29	-0.0370586848990655
1104	30-34	-0.04526772029513637
1104	35-39	-0.058270996986763635
1104	40-44	-0.040592249005243275
1104	45-49	-0.03633749203561365
1104	50-54	-0.03609636542694972
1104	55-59	-0.05413440561640215
1104	60-64	-0.07301210192803609
1104	65-69	-0.08181828881725295
1104	70-74	-0.03016339410586255
1104	75-79	-0.03706855945704035
1104	80-84	-0.034439613890960175
1104	85-89	-0.05240360687873391
1104	90-94	-0.035638404179394456
1104	95-99	-0.023289949711930547
1104	100-104	-0.04507141599593467
1104	105-109	-0.03746255198546322
1104	110-114	-0.04946678001346072
1104	115-119	-0.06256309879115207
1104	120-124	-0.06241788336321008
1104	125-129	-0.03218610771107677
1104	130-134	0.019483732915539065
1104	135-139	0.029545657603627262
1104	140-144	0.040534922226058256
1104	145-149	-0.027204215652652408
1104	150	-0.04847112060870984
1105	1	-0.05392177824814581
1105	2	0.009560943918948794
1105	3	-0.003469170347813133
1105	4	-0.02827434674271956
1105	5	-0.00643422452910869
1105	6	-0.006841252509708795
1105	7	-0.002521553742290905
1105	8	0.0038992264441546354
1105	9	-0.0015142125203340129
1105	10-14	-0.004384810628621949
1105	15-19	-0.006522374201601622
1105	20-24	-0.021713266660924546
1105	25-29	-0.013901399501676792
1105	30-34	-0.02650802121398499
1105	35-39	-0.02473713904026198
1105	40-44	-0.021257043265229925
1105	45-49	-0.010868582922306302
1105	50-54	-0.016713122905322564
1105	55-59	-0.029913778830575666
1105	60-64	-0.0347002902595861
1105	65-69	-0.02827430461532998
1105	70-74	-0.01268530273778623
1105	75-79	-0.019332499281027538
1105	80-84	-0.022866767959065726
1105	85-89	-0.049411309760458266
1105	90-94	-0.026273461818718147
1105	95-99	-0.019769370540366538
1105	100-104	-0.04904846554160969
1105	105-109	-0.0031919109209752605
1105	110-114	-0.019164199987748987
1105	115-119	-0.040082599201475944
1105	120-124	-0.01643691363371147
1105	125-129	0.009428749837042005
1105	130-134	0.05841278273015149
1105	135-139	0.045479529484452996
1105	140-144	0.06805786058230723
1105	145-149	0.049379908165178676
1105	150	0.00556085086508773
1106	1	0.005601550149286538
1106	2	0.026159517457138293
1106	3	0.007710992326053656
1106	4	-0.02841955526472617
1106	5	-0.005894629844632959
1106	6	-0.016536567548513403
1106	7	0.01615077756884631
1106	8	0.008829557512250119
1106	9	0.006772731066178039
1106	10-14	-0.017902812178121508
1106	15-19	-0.0068432854934386
1106	20-24	-0.020537437331945796
1106	25-29	-1.7902921472057187E-4
1106	30-34	-0.02235578146532191
1106	35-39	-0.03628379400226578
1106	40-44	-0.02761000316385065
1106	45-49	-0.02326756242119643
1106	50-54	-0.0013343994683054916
1106	55-59	-0.003025213472447774
1106	60-64	-0.020358673671303507
1106	65-69	-0.021504398309410533
1106	70-74	-0.005504399954091355
1106	75-79	-0.0029009201252918615
1106	80-84	-0.02601930728908286
1106	85-89	-0.04559419286030675
1106	90-94	0.01407569296596023
1106	95-99	0.0193176660455876
1106	100-104	-0.004137595806255945
1106	105-109	0.0055422098466948455
1106	110-114	-0.0020967642153735255
1106	115-119	0.005023520781001878
1106	120-124	-0.01624711615216512
1106	125-129	0.0017239737459249227
1106	130-134	0.08263016882280283
1106	135-139	0.07635642858188874
1106	140-144	0.10772303694856333
1106	145-149	0.08528093506298262
1106	150	0.03871199309575957
1107	1	0.002944765257133497
1107	2	0.0045838650066443165
1107	3	-0.021591326359825302
1107	4	-0.011868580295320896
1107	5	-0.03649017792461251
1107	6	-0.019633800328186624
1107	7	-0.004362018062259665
1107	8	-0.013253728649495145
1107	9	-0.025241172423442038
1107	10-14	0.012837140272907277
1107	15-19	-0.0042332516916303575
1107	20-24	-0.009762418867630629
1107	25-29	-0.006776318600309139
1107	30-34	-0.011891138594698702
1107	35-39	-0.01766868992825721
1107	40-44	-0.024643252396970183
1107	45-49	2.8935347320668825E-4
1107	50-54	4.2911721426719396E-4
