##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	2450131_TruSeqCD_AHT377DSXX_L3_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	174624399
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.252247419331134	37.0	37.0	37.0	37.0	37.0
2	36.47682991309823	37.0	37.0	37.0	37.0	37.0
3	36.6325324675849	37.0	37.0	37.0	37.0	37.0
4	36.64698193750119	37.0	37.0	37.0	37.0	37.0
5	36.695731156102646	37.0	37.0	37.0	37.0	37.0
6	36.69479274199249	37.0	37.0	37.0	37.0	37.0
7	36.70684996888665	37.0	37.0	37.0	37.0	37.0
8	36.7144266706968	37.0	37.0	37.0	37.0	37.0
9	36.70357635991062	37.0	37.0	37.0	37.0	37.0
10-14	36.710016442776706	37.0	37.0	37.0	37.0	37.0
15-19	36.699001333713966	37.0	37.0	37.0	37.0	37.0
20-24	36.67814062226207	37.0	37.0	37.0	37.0	37.0
25-29	36.63480987098487	37.0	37.0	37.0	37.0	37.0
30-34	36.59876956713249	37.0	37.0	37.0	37.0	37.0
35-39	36.57299815588771	37.0	37.0	37.0	37.0	37.0
40-44	36.55061388414571	37.0	37.0	37.0	37.0	37.0
45-49	36.51921413914215	37.0	37.0	37.0	37.0	37.0
50-54	36.494716181099065	37.0	37.0	37.0	37.0	37.0
55-59	36.46275598062331	37.0	37.0	37.0	37.0	37.0
60-64	36.43364197691527	37.0	37.0	37.0	37.0	37.0
65-69	36.41401818425155	37.0	37.0	37.0	37.0	37.0
70-74	36.385449667889766	37.0	37.0	37.0	37.0	37.0
75-79	36.35878621520696	37.0	37.0	37.0	37.0	37.0
80-84	36.328543291364454	37.0	37.0	37.0	37.0	37.0
85-89	36.2927787027058	37.0	37.0	37.0	37.0	37.0
90-94	36.26682886736807	37.0	37.0	37.0	37.0	37.0
95-99	36.23500554467191	37.0	37.0	37.0	37.0	37.0
100-104	36.16875579797986	37.0	37.0	37.0	37.0	37.0
105-109	36.150241270694366	37.0	37.0	37.0	37.0	37.0
110-114	36.09477539161065	37.0	37.0	37.0	37.0	37.0
115-119	36.07026552228821	37.0	37.0	37.0	37.0	37.0
120-124	36.036621957965906	37.0	37.0	37.0	37.0	37.0
125-129	36.02761833070074	37.0	37.0	37.0	37.0	37.0
130-134	35.96415572259178	37.0	37.0	37.0	37.0	37.0
135-139	35.88540687146474	37.0	37.0	37.0	37.0	37.0
140-144	35.86425296387133	37.0	37.0	37.0	37.0	37.0
145-149	35.8198494277996	37.0	37.0	37.0	37.0	37.0
150	35.784751717313	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.09834053612382121
1101	2	-0.05725176222782835
1101	3	-0.07731684510745396
1101	4	-0.06392596673618556
1101	5	-0.07848750677423055
1101	6	-0.06580656575091126
1101	7	-0.08961612156507925
1101	8	-0.08846183177663391
1101	9	-0.06619535760519568
1101	10-14	-0.07960785282519822
1101	15-19	-0.0670399130277417
1101	20-24	-0.08999180535062834
1101	25-29	-0.10140248297886245
1101	30-34	-0.09120068094880907
1101	35-39	-0.10742478412637269
1101	40-44	-0.10560163969401515
1101	45-49	-0.13324656634075183
1101	50-54	-0.10184744442577909
1101	55-59	-0.11286880275463318
1101	60-64	-0.13778575708112584
1101	65-69	-0.13886240706085573
1101	70-74	-0.11723911351121785
1101	75-79	-0.11799786517893551
1101	80-84	-0.11392493204518672
1101	85-89	-0.15541199164127306
1101	90-94	-0.12739218346941072
1101	95-99	-0.13329023563802878
1101	100-104	-0.1315978551380681
1101	105-109	-0.11943494438870772
1101	110-114	-0.1785244965976318
1101	115-119	-0.13736796563046028
1101	120-124	-0.07231703890337116
1101	125-129	-0.10637991541762659
1101	130-134	-0.14887405403178633
1101	135-139	-0.1252212551894587
1101	140-144	-0.1243957144887915
1101	145-149	-0.09289338892467214
1101	150	-0.2635401556077923
1102	1	-0.06749486985836484
1102	2	-0.06588094853690762
1102	3	-0.06342524170093355
1102	4	-0.027167446650366855
1102	5	-0.038718274647337125
1102	6	-0.03393557906393596
1102	7	-0.05973375483651466
1102	8	-0.05417044093866252
1102	9	-0.02484699782834099
1102	10-14	-0.026444578684305498
1102	15-19	-0.046415438115538166
1102	20-24	-0.052264186160179804
1102	25-29	-0.0658313925114129
1102	30-34	-0.04006020506722763
1102	35-39	-0.0644075186391504
1102	40-44	-0.06422223800874605
1102	45-49	-0.05318917889881902
1102	50-54	-0.060302948760494246
1102	55-59	-0.0335583973481377
1102	60-64	-0.0699160680556119
1102	65-69	-0.07242268253591533
1102	70-74	-0.0476144381845387
1102	75-79	-0.06203630451116737
1102	80-84	-0.07200333697836925
1102	85-89	-0.08411923934741594
1102	90-94	-0.09907802116325826
1102	95-99	-0.05200519674473725
1102	100-104	-0.08691960522154574
1102	105-109	-0.05005980167518942
1102	110-114	-0.03787985952416051
1102	115-119	-0.04244978250508069
1102	120-124	2.675270550369646E-4
1102	125-129	-0.021252895832688523
1102	130-134	-0.052708733365150806
1102	135-139	-0.02621892345838006
1102	140-144	-0.002742406804109976
1102	145-149	0.005766385813373631
1102	150	-0.0823584599278675
1103	1	-0.08417991278157899
1103	2	-0.11026419494812245
1103	3	-0.029593266576981136
1103	4	-0.04441560268901412
1103	5	-0.04673863055854355
1103	6	-0.02967870820550189
1103	7	-0.05338692437156567
1103	8	-0.03458146012898311
1103	9	-0.021507608844800075
1103	10-14	-0.04873629503833854
1103	15-19	-0.03941707934369276
