##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	2240131_TruseqNano_HYGWFDSXY_L1_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	214844156
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.51931395797426	37.0	37.0	37.0	37.0	37.0
2	36.47904501065414	37.0	37.0	37.0	37.0	37.0
3	36.49729591900093	37.0	37.0	37.0	37.0	37.0
4	36.475236631523735	37.0	37.0	37.0	37.0	37.0
5	36.48021429077177	37.0	37.0	37.0	37.0	37.0
6	36.474321838197916	37.0	37.0	37.0	37.0	37.0
7	36.45261979571834	37.0	37.0	37.0	37.0	37.0
8	36.44919342372059	37.0	37.0	37.0	37.0	37.0
9	36.43221816096315	37.0	37.0	37.0	37.0	37.0
10-14	36.42306928748856	37.0	37.0	37.0	37.0	37.0
15-19	36.38064425918106	37.0	37.0	37.0	37.0	37.0
20-24	36.33262785793438	37.0	37.0	37.0	37.0	37.0
25-29	36.27420494044064	37.0	37.0	37.0	37.0	37.0
30-34	36.21099637543783	37.0	37.0	37.0	37.0	37.0
35-39	36.16379778372933	37.0	37.0	37.0	37.0	37.0
40-44	36.10116805504358	37.0	37.0	37.0	37.0	37.0
45-49	36.052205458174065	37.0	37.0	37.0	37.0	37.0
50-54	35.999607855286506	37.0	37.0	37.0	37.0	37.0
55-59	35.92796040586741	37.0	37.0	37.0	37.0	37.0
60-64	35.89271055992791	37.0	37.0	37.0	37.0	37.0
65-69	35.82441474740416	37.0	37.0	37.0	37.0	37.0
70-74	35.773415478892524	37.0	37.0	37.0	37.0	37.0
75-79	35.69927330767145	37.0	37.0	37.0	37.0	37.0
80-84	35.60139534817042	37.0	37.0	37.0	37.0	37.0
85-89	35.585010025592695	37.0	37.0	37.0	37.0	37.0
90-94	35.52027695554354	37.0	37.0	37.0	37.0	37.0
95-99	35.455756670430446	37.0	37.0	37.0	37.0	37.0
100-104	35.33776304252837	37.0	37.0	37.0	37.0	37.0
105-109	35.25664170264887	37.0	37.0	37.0	29.8	37.0
110-114	35.13337124701684	37.0	37.0	37.0	25.0	37.0
115-119	35.03155608570522	37.0	37.0	37.0	25.0	37.0
120-124	34.92477311786875	37.0	37.0	37.0	25.0	37.0
125-129	34.85159996253284	37.0	37.0	37.0	25.0	37.0
130-134	34.717618428494745	37.0	37.0	37.0	25.0	37.0
135-139	34.714189937751904	37.0	37.0	37.0	25.0	37.0
140-144	34.47327269911871	37.0	37.0	37.0	25.0	37.0
145-149	34.42266993941413	37.0	37.0	37.0	25.0	37.0
150	34.354688595765204	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.0928360213688535
1101	2	-0.14743326030344406
1101	3	-0.11031491147972616
1101	4	-0.10151954722408618
1101	5	-0.10833152887254727
1101	6	-0.11325161194310596
1101	7	-0.12283700170097944
1101	8	-0.10619557597573248
1101	9	-0.10460403066358737
1101	10-14	-0.1067994343440759
1101	15-19	-0.1029012590704852
1101	20-24	-0.11180142569126872
1101	25-29	-0.11579408340201525
1101	30-34	-0.12696325241474682
1101	35-39	-0.1551206954771942
1101	40-44	-0.14930966197390916
1101	45-49	-0.16488023478444092
1101	50-54	-0.15306619250747389
1101	55-59	-0.16933800310505376
1101	60-64	-0.18689937680391466
1101	65-69	-0.1771756424313935
1101	70-74	-0.12806818541263
1101	75-79	-0.18350373449492707
1101	80-84	-0.16791840690810744
1101	85-89	-0.24058975769970203
1101	90-94	-0.1891152638678264
1101	95-99	-0.17506296331861648
1101	100-104	-0.20961800912554196
1101	105-109	-0.17079408792618977
1101	110-114	-0.10396666487123696
1101	115-119	-0.15352927323793608
1101	120-124	-0.21242549878849815
1101	125-129	-0.10845440294016129
1101	130-134	0.008098614536180548
1101	135-139	-0.13721777014649916
1101	140-144	-0.06531437618520641
1101	145-149	-0.07859815289414485
1101	150	-0.04208884942043056
1102	1	-0.09936516407447726
1102	2	-0.15251305087464573
1102	3	-0.05802059962827144
1102	4	-0.11731093048162222
1102	5	-0.11827466159206779
1102	6	-0.1307773052054486
1102	7	-0.1488300779556937
1102	8	-0.18501482230670518
1102	9	-0.16218209296190622
1102	10-14	-0.13029306104187555
1102	15-19	-0.13803614721808088
1102	20-24	-0.1216415190180058
1102	25-29	-0.1638217748319093
1102	30-34	-0.16241756327185186
1102	35-39	-0.1435626042007101
1102	40-44	-0.16908308658215532
1102	45-49	-0.22088230160942146
1102	50-54	-0.1741374731103278
1102	55-59	-0.20189320721881643
1102	60-64	-0.17913086120092458
1102	65-69	-0.18805647564832384
1102	70-74	-0.19368381752251196
1102	75-79	-0.2678166039724488
1102	80-84	-0.21084480793370375
1102	85-89	-0.3027997629792196
1102	90-94	-0.24275888038538085
1102	95-99	-0.20919797457607103
1102	100-104	-0.27958186336348234
1102	105-109	-0.2281593595846516
1102	110-114	-0.21984943647643007
1102	115-119	-0.24895878456285914
1102	120-124	-0.24040041870790674
1102	125-129	-0.1602550383763841
1102	130-134	-0.1182629567242941
1102	135-139	-0.19884775639133778
1102	140-144	-0.10531105577052102
1102	145-149	-0.16593283057125063
1102	150	-0.06862482235520417
1103	1	-0.09835052531465749
1103	2	-0.20196688767479998
1103	3	-0.1407050673871666
1103	4	-0.17191462071794206
1103	5	-0.11265853545906168
1103	6	-0.1428514917615189
1103	7	-0.19647551097984461
1103	8	-0.13931980430196944
1103	9	-0.12430665165499022
1103	10-14	-0.16892370257436085
1103	15-19	-0.15705134991085856
1103	20-24	-0.16525644679346385
